1218322, 966528, 404410, 724017, 30411, 48981, 56113, 28513
1035060, 1148185, 409711, 740733, 34798, 59013, 47384, 26268
1221647, 969441, 405892, 703076, 36215, 57965, 45089, 22991
1037284, 1147734, 397524, 712501, 27433, 48971, 56218, 30036
1221261, 966976, 412161, 737473, 29362, 46689, 60312, 30907
1036625, 1148337, 425487, 722313, 24296, 41831, 65567, 36582
1220711, 967511, 407519, 723986, 27731, 44382, 61458, 31120
1041303, 1148682, 407180, 727079, 37824, 64886, 39862, 22440
1221540, 970573, 431966, 717328, 38797, 59866, 45000, 24080
1038619, 1148072, 420110, 707669, 24503, 42015, 63630, 35141
1221894, 969017, 403937, 743635, 22889, 36807, 71150, 36376
1038043, 1148207, 399190, 744004, 37423, 65811, 41254, 22316
1220483, 969618, 406717, 722305, 31044, 50304, 56057, 28093
1035480, 1144543, 420737, 715120, 25980, 44242, 62183, 34182
1218920, 967197, 407762, 724830, 29952, 47828, 58053, 29789
1041075, 1148476, 407068, 725990, 34046, 58723, 47250, 26520
1218553, 971104, 417659, 714842, 39672, 63745, 41125, 20894
1039298, 1149936, 414576, 714695, 29722, 51002, 54365, 30517
1220438, 970050, 402752, 726864, 29732, 48633, 57940, 29025
1039310, 1147884, 404149, 726288, 29975, 53021, 53726, 28912
1220816, 967868, 411071, 720775, 32900, 52149, 53336, 27045
1041320, 1149839, 417450, 722961, 29355, 49133, 56255, 32091
1223271, 967890, 397407, 722963, 28370, 46988, 59327, 28968
1042313, 1150052, 396950, 725454, 31401, 56413, 50077, 26582
1218217, 969739, 413273, 727366, 34200, 54115, 50932, 26374
1040221, 1150004, 415395, 705235, 29670, 50485, 53854, 30555
1222253, 965517, 394678, 735466, 24790, 40746, 65992, 33094
1039507, 1151715, 401563, 732145, 33187, 58007, 48255, 26129
1222799, 971433, 415326, 714032, 31505, 49496, 54876, 28864
1039932, 1149031, 422969, 717212, 28125, 47436, 58396, 33393
1223396, 968686, 380751, 718324, 26774, 45304, 59427, 28595
1042728, 1147220, 380563, 724265, 32588, 59650, 45694, 23627
1217034, 967225, 426484, 711029, 41401, 64331, 38967, 20449
1037560, 1147826, 428570, 697248, 19682, 33755, 72512, 40271
1219282, 964559, 389291, 724823, 24132, 40326, 65419, 31898
1034237, 1145659, 390361, 722760, 33569, 60104, 43870, 23249
1219048, 965896, 429700, 699575, 39474, 61353, 41219, 22052
1220885, 967109, 378638, 725744, 22125, 37958, 67987, 32560
1035910, 1149903, 426515, 712275, 22797, 39584, 67315, 37918
1221919, 969241, 430478, 707528, 41367, 64396, 39438, 20712
1037059, 1148261, 380711, 721711, 34587, 62244, 41687, 21802
1219619, 969404, 405055, 726900, 30552, 50431, 55845, 27809
1038932, 1149612, 410340, 719271, 31498, 53826, 51356, 29145
1216126, 970336, 419048, 712982, 33705, 52646, 51506, 27064
1038817, 1145354, 406076, 724108, 30239, 53001, 52666, 28805
1216540, 967567, 393479, 720926, 27768, 45472, 59614, 29306
1039296, 1144332, 419372, 720091, 28568, 48175, 57184, 32441
1221087, 964681, 422206, 720606, 33874, 52445, 52527, 27563
1038887, 1148814, 398097, 722385, 31673, 56422, 49653, 26840
1221953, 968189, 404808, 706385, 30240, 48245, 56168, 28233
1041795, 1150152, 407530, 742152, 33863, 58281, 49247, 27011
1223234, 969962, 408345, 739720, 29756, 48337, 60057, 30285
1040963, 1147872, 398898, 710230, 28422, 49991, 54686, 29105
1220982, 969856, 394976, 706757, 32795, 54633, 49381, 24145
1044954, 1152242, 401694, 736359, 29277, 51101, 55989, 29884
1225651, 970008, 400095, 734096, 28553, 46469, 60315, 30127
1039671, 1151156, 395267, 709140, 30905, 55537, 48628, 26525
1222165, 966793, 414614, 725531, 28119, 43849, 61965, 32375
1039297, 1147235, 423811, 717393, 26823, 45292, 61233, 34097
1223297, 965507, 428640, 709507, 41011, 63711, 40461, 21126
1040142, 1150661, 409744, 728117, 35252, 61243, 44411, 24801
1224541, 968770, 405897, 725179, 26813, 42534, 63476, 32124
1039943, 1147828, 432948, 718597, 24674, 41383, 65751, 37325
1224362, 966515, 426941, 722372, 32935, 50453, 54538, 28971
1037552, 1151031, 406518, 721084, 26526, 47385, 59721, 31993
1219797, 966405, 400001, 732161, 24669, 39216, 67056, 33904
